ct_sc_pipeline	ct_author	percent_overlap
chandelier.pvalb.GABAergic.cortical.interneuron	Pax6	
chandelier.pvalb.GABAergic.cortical.interneuron	VLMC	
chandelier.pvalb.GABAergic.cortical.interneuron	Vip	
chandelier.pvalb.GABAergic.cortical.interneuron	L5_ET	0.0
chandelier.pvalb.GABAergic.cortical.interneuron	L2.3_IT	0.0
chandelier.pvalb.GABAergic.cortical.interneuron	Endo	
chandelier.pvalb.GABAergic.cortical.interneuron	Astro	0.0
chandelier.pvalb.GABAergic.cortical.interneuron	Chandelier	
chandelier.pvalb.GABAergic.cortical.interneuron	OPC	0.0
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5_Lhx6	
chandelier.pvalb.GABAergic.cortical.interneuron	Immune	
chandelier.pvalb.GABAergic.cortical.interneuron	PC	
chandelier.pvalb.GABAergic.cortical.interneuron	Oligo	0.0
chandelier.pvalb.GABAergic.cortical.interneuron	L6_CT	
chandelier.pvalb.GABAergic.cortical.interneuron	Sncg	
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT_Car3	
chandelier.pvalb.GABAergic.cortical.interneuron	L5.6_NP	
chandelier.pvalb.GABAergic.cortical.interneuron	SMC	
chandelier.pvalb.GABAergic.cortical.interneuron	Sst_Chodl	
chandelier.pvalb.GABAergic.cortical.interneuron	Pvalb	
chandelier.pvalb.GABAergic.cortical.interneuron	L6_IT	
chandelier.pvalb.GABAergic.cortical.interneuron	L5_IT	
chandelier.pvalb.GABAergic.cortical.interneuron	Lamp5	
chandelier.pvalb.GABAergic.cortical.interneuron	L6b	
chandelier.pvalb.GABAergic.cortical.interneuron	L4_IT	
endothelial.cell	Micro	0.0
endothelial.cell	Sst	
endothelial.cell	Pax6	
endothelial.cell	VLMC	
endothelial.cell	Vip	
endothelial.cell	L5_ET	0.0
endothelial.cell	L2.3_IT	0.0
endothelial.cell	Endo	
endothelial.cell	Astro	0.0
endothelial.cell	Chandelier	
endothelial.cell	OPC	0.0
endothelial.cell	Lamp5_Lhx6	
endothelial.cell	Immune	
endothelial.cell	PC	
endothelial.cell	Oligo	0.0
endothelial.cell	L6_CT	
endothelial.cell	Sncg	
endothelial.cell	L6_IT_Car3	
endothelial.cell	L5.6_NP	
endothelial.cell	SMC	
endothelial.cell	Sst_Chodl	
endothelial.cell	Pvalb	
endothelial.cell	L6_IT	
endothelial.cell	L5_IT	
endothelial.cell	Lamp5	
endothelial.cell	L6b	
endothelial.cell	L4_IT	
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Micro	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pax6	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	VLMC	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Vip	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_ET	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L2.3_IT	25.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Endo	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Astro	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Chandelier	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	OPC	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5_Lhx6	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Immune	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	PC	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Oligo	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_CT	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sncg	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT_Car3	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5.6_NP	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	SMC	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Sst_Chodl	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Pvalb	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6_IT	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L5_IT	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	Lamp5	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L6b	0.0
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	L4_IT	0.0
vip.GABAergic.cortical.interneuron	Micro	0.0
vip.GABAergic.cortical.interneuron	Sst	
vip.GABAergic.cortical.interneuron	Pax6	
vip.GABAergic.cortical.interneuron	VLMC	
vip.GABAergic.cortical.interneuron	Vip	
vip.GABAergic.cortical.interneuron	L5_ET	0.0
vip.GABAergic.cortical.interneuron	L2.3_IT	0.0
vip.GABAergic.cortical.interneuron	Endo	
vip.GABAergic.cortical.interneuron	Astro	0.0
vip.GABAergic.cortical.interneuron	Chandelier	
vip.GABAergic.cortical.interneuron	OPC	0.0
vip.GABAergic.cortical.interneuron	Lamp5_Lhx6	
vip.GABAergic.cortical.interneuron	Immune	
vip.GABAergic.cortical.interneuron	PC	
vip.GABAergic.cortical.interneuron	Oligo	0.0
vip.GABAergic.cortical.interneuron	L6_CT	
vip.GABAergic.cortical.interneuron	Sncg	
vip.GABAergic.cortical.interneuron	L6_IT_Car3	
vip.GABAergic.cortical.interneuron	L5.6_NP	
vip.GABAergic.cortical.interneuron	SMC	
vip.GABAergic.cortical.interneuron	Sst_Chodl	
vip.GABAergic.cortical.interneuron	Pvalb	
vip.GABAergic.cortical.interneuron	L6_IT	
vip.GABAergic.cortical.interneuron	L5_IT	
vip.GABAergic.cortical.interneuron	Lamp5	
vip.GABAergic.cortical.interneuron	L6b	
vip.GABAergic.cortical.interneuron	L4_IT	
L6b.glutamatergic.cortical.neuron	Micro	0.0
L6b.glutamatergic.cortical.neuron	Sst	0.0
L6b.glutamatergic.cortical.neuron	Pax6	0.0
L6b.glutamatergic.cortical.neuron	VLMC	0.0
L6b.glutamatergic.cortical.neuron	Vip	0.0
L6b.glutamatergic.cortical.neuron	L5_ET	0.0
L6b.glutamatergic.cortical.neuron	L2.3_IT	0.0
L6b.glutamatergic.cortical.neuron	Endo	0.0
